Index,PDBID,Chain,PCASSO Accuracy
,,,
1,3SSB,C,77.1428571428572
2,2END,A,81.7518248175183
3,1ZUU,A,80.3571428571429
4,4UE8,A,83.8709677419355
5,5W82,A,94
6,3QR7,A,95.1923076923077
7,3NGG,A,84.4444444444444
8,3X34,A,63.2911392405063
9,1KVE,A,90.4761904761905
10,5DBL,A,78.5714285714286
11,4KK7,A,88.8311688311688
12,3MAO,A,87.6288659793815
13,5QS9,A,90.6432748538012
14,6DWD,D,85.2390852390852
15,4G9S,A,75.1412429378531
16,3ZVS,A,87.741935483871
17,3QL9,A,87.9032258064516
18,4ZFL,A,86.6666666666667
19,5OBY,A,86.1111111111111
20,6B1K,A,85.0877192982456
21,1T7M,B,83.3333333333333
22,2IC6,A,94.3661971830986
23,3HE5,B,95.7446808510638
24,3LDC,A,91.4634146341463
25,4ABM,A,94.9367088607595
26,4I6R,A,61.9718309859155
27,4WZX,A,88.3720930232558
28,5O17,A,87.8378378378378
29,5TZQ,C,100
30,6OP8,B,84.6153846153846
,,,
,,,
,,,
,,,
,,,
Aggregate Totals: ,,,
---====== HELIX ======---,,,
    True Helix:,,1413,
    FP Sheet:,,3,
    FP Loop:,,325,
---====== SHEET ======---,,,
    True Sheet:,,688,
    FP Helix:,,0,
    FP Loop:,,96,
---====== LOOP ======---,,,
    True Loop:,,1199,
    FP Helix:,,46,
    FP Sheet:,,76,
,,,
Percent Accuracy:,,85.8034321372855,
